src_ip,dst_ip,src_port,dst_port,proto,time_bucket,start_time,end_time,duration,packet_count,byte_count,pps,bps,label
192.168.0.106,192.168.0.101,37682,80,6,1,1763726661.88119,1763726662.815105,0.9339148998260498,8,648,8.566090980548735,693.8533694244475,1
192.168.0.106,192.168.0.101,37686,80,6,1,1763726661.88119,1763726662.815176,0.9339859485626221,8,648,8.565439354105672,693.8005876825595,1
192.168.0.106,192.168.0.101,37700,80,6,1,1763726661.88119,1763726663.122389,1.241199016571045,8,648,6.445380549930599,522.0758245443785,1
192.168.0.106,192.168.0.101,37714,80,6,1,1763726661.881255,1763726662.814891,0.9336361885070801,9,709,9.639729169443768,759.3964423484035,1
192.168.0.106,192.168.0.101,37728,80,6,1,1763726661.881255,1763726663.122082,1.2408270835876465,9,709,7.253226593006003,571.3930727156951,1
192.168.0.101,192.168.0.106,80,37682,6,1,1763726661.891964,1763726662.837132,0.9451680183410645,6,432,6.348077678856561,457.0615928776724,1
192.168.0.101,192.168.0.106,80,37686,6,1,1763726661.892681,1763726662.837313,0.9446320533752441,6,432,6.351679448692781,457.3209203058802,1
192.168.0.101,192.168.0.106,80,37700,6,1,1763726661.89686,1763726663.144188,1.2473280429840088,6,432,4.810282294019523,346.3403251694057,1
192.168.0.101,192.168.0.106,80,37714,6,1,1763726661.915388,1763726662.757132,0.8417439460754395,7,3980,8.316068125748826,4728.278734354332,1
192.168.0.101,192.168.0.106,80,37728,6,1,1763726661.915771,1763726663.042395,1.1266241073608398,8,4050,7.1008599476362235,3594.810348490838,1
192.168.0.106,192.168.0.101,56328,80,6,1,1763726662.403529,1763726663.248819,0.8452901840209961,9,709,10.647231175911124,838.765211524554,1
192.168.0.101,192.168.0.106,80,56328,6,1,1763726662.409384,1763726663.246101,0.836716890335083,8,3978,9.561179046829341,4754.29628103589,1
192.168.0.106,192.168.0.101,56340,80,6,1,1763726662.412151,1763726663.24892,0.8367688655853271,9,709,10.755658306794698,847.3068599463824,1
192.168.0.101,192.168.0.106,80,56340,6,1,1763726662.427088,1763726663.247323,0.820235013961792,8,4004,9.75330224121919,4881.527771730205,1
192.168.0.106,192.168.0.101,56342,80,6,1,1763726662.502537,1763726663.832762,1.3302249908447266,8,648,6.014020225946738,487.1356383016858,1
192.168.0.101,192.168.0.106,80,56342,6,1,1763726662.529036,1763726663.860138,1.331101894378662,7,486,5.258801020088318,365.111042251846,1
192.168.0.106,192.168.0.101,56354,80,6,1,1763726662.59756,1763726663.737763,1.1402029991149902,8,648,7.01629447230843,568.3198522569828,1
192.168.0.101,192.168.0.106,80,56354,6,1,1763726662.610496,1763726663.759522,1.1490259170532227,7,486,6.092116719135554,422.96696078569704,1
