time_bucket,src_ip,dst_ip,src_port,dst_port,proto,start_time,end_time,duration,packet_count,byte_count,pps,bps,label,
1,211.234.198.208,10.74.29.196,50140,80,6,2025-12-03T21:55:03.568847+09:00,2025-12-03T21:55:04.508599+09:00,0.939752102,9,1000000,9.576993743,734.236187,1,
1,211.234.198.208,10.74.29.196,50166,80,6,2025-12-03T21:55:03.573453+09:00,2025-12-03T21:55:04.503210+09:00,0.929757118,9,1000000,9.679947401,714.1650082,1,
1,211.234.198.208,10.74.29.196,35594,80,6,2025-12-03T21:55:03.573644+09:00,2025-12-03T21:55:04.478411+09:00,0.904767036,9,1000000,9.947312001,734.9958312,1,
1,211.234.198.208,10.74.29.196,50190,80,6,2025-12-03T21:55:03.573833+09:00,2025-12-03T21:55:04.498211+09:00,0.924377918,9,1000000,9.736277579,746.4479477,1,
1,211.234.198.208,10.74.29.196,50108,80,6,2025-12-03T21:55:03.574026+09:00,2025-12-03T21:55:04.508259+09:00,0.93423295,10,1000000,10.70396842,768.5449329,1,
1,211.234.198.208,10.74.29.196,50196,80,6,2025-12-03T21:55:03.574214+09:00,2025-12-03T21:55:03.574214+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50164,80,6,2025-12-03T21:55:03.574405+09:00,2025-12-03T21:55:03.574405+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,56440,80,6,2025-12-03T21:55:03.574593+09:00,2025-12-03T21:55:03.574593+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,35590,80,6,2025-12-03T21:55:03.574782+09:00,2025-12-03T21:55:03.574782+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50110,80,6,2025-12-03T21:55:03.574973+09:00,2025-12-03T21:55:03.574973+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50156,80,6,2025-12-03T21:55:03.575161+09:00,2025-12-03T21:55:03.575161+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50194,80,6,2025-12-03T21:55:03.575351+09:00,2025-12-03T21:55:03.575351+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50172,80,6,2025-12-03T21:55:03.575543+09:00,2025-12-03T21:55:03.575543+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,18318,80,6,2025-12-03T21:55:03.575734+09:00,2025-12-03T21:55:03.575734+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50132,80,6,2025-12-03T21:55:03.575926+09:00,2025-12-03T21:55:03.575926+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,14888,80,6,2025-12-03T21:55:03.576119+09:00,2025-12-03T21:55:03.576119+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50130,80,6,2025-12-03T21:55:03.576310+09:00,2025-12-03T21:55:03.576310+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50142,80,6,2025-12-03T21:55:03.576500+09:00,2025-12-03T21:55:03.576500+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50136,80,6,2025-12-03T21:55:03.576689+09:00,2025-12-03T21:55:03.576689+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50158,80,6,2025-12-03T21:55:03.578464+09:00,2025-12-03T21:55:03.578464+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50192,80,6,2025-12-03T21:55:03.578684+09:00,2025-12-03T21:55:03.578684+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50176,80,6,2025-12-03T21:55:03.578874+09:00,2025-12-03T21:55:03.578874+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50114,80,6,2025-12-03T21:55:03.618862+09:00,2025-12-03T21:55:03.618862+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50098,80,6,2025-12-03T21:55:03.623483+09:00,2025-12-03T21:55:03.623483+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50144,80,6,2025-12-03T21:55:03.623671+09:00,2025-12-03T21:55:03.623671+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50146,80,6,2025-12-03T21:55:03.623861+09:00,2025-12-03T21:55:03.623861+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,11406,80,6,2025-12-03T21:55:03.624049+09:00,2025-12-03T21:55:03.624049+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50152,80,6,2025-12-03T21:55:03.624239+09:00,2025-12-03T21:55:03.624239+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50118,80,6,2025-12-03T21:55:03.624429+09:00,2025-12-03T21:55:03.624429+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,211.234.198.208,10.74.29.196,50138,80,6,2025-12-03T21:55:03.624616+09:00,2025-12-03T21:55:03.624616+09:00,1.00E-06,1,1000000,1000000,74000000,1,
1,10.74.29.196,211.234.198.208,80,50140,6,2025-12-03T21:55:03.793741+09:00,2025-12-03T21:55:04.488481+09:00,0.694740057,9,1000000,12.95448551,8498.142493,1,
1,10.74.29.196,211.234.198.208,80,50166,6,2025-12-03T21:55:03.793883+09:00,2025-12-03T21:55:04.476946+09:00,0.68306303,9,1000000,13.17594366,8643.419038,1,
1,10.74.29.196,211.234.198.208,80,35594,6,2025-12-03T21:55:03.793899+09:00,2025-12-03T21:55:04.453538+09:00,0.659638882,11,1000000,16.67579081,13827.26254,1,
1,10.74.29.196,211.234.198.208,80,50108,6,2025-12-03T21:55:04.039710+09:00,2025-12-03T21:55:04.488449+09:00,0.448739052,9,1000000,20.05619962,13156.86695,1,
1,10.74.29.196,211.234.198.208,80,50190,6,2025-12-03T21:55:04.039756+09:00,2025-12-03T21:55:04.474361+09:00,0.434604883,9,1000000,20.70846497,13584.75302,1,
1,211.234.198.208,10.74.29.196,8028,80,6,2025-12-03T21:55:04.443831+09:00,2025-12-03T21:55:04.703743+09:00,0.259912014,13,1000000,50.01692611,3389.608608,1,
1,10.74.29.196,211.234.198.208,80,8028,6,2025-12-03T21:55:04.453513+09:00,2025-12-03T21:55:04.685413+09:00,0.231899977,12,1000000,51.74644762,39650.71549,1,
1,211.234.198.208,10.74.29.196,50154,80,6,2025-12-03T21:55:04.468459+09:00,2025-12-03T21:55:04.663229+09:00,0.194770098,10,1000000,51.34258347,3819.88821,1,
1,10.74.29.196,211.234.198.208,80,50154,6,2025-12-03T21:55:04.470796+09:00,2025-12-03T21:55:04.685429+09:00,0.214632988,10,1000000,46.59116054,27759.01345,1,
1,211.234.198.208,10.74.29.196,50160,80,6,2025-12-03T21:55:04.478404+09:00,2025-12-03T21:55:04.773318+09:00,0.294914007,9,1000000,30.51737042,2251.503773,1,
1,211.234.198.208,10.74.29.196,56390,80,6,2025-12-03T21:55:04.478734+09:00,2025-12-03T21:55:04.773503+09:00,0.294769049,10,1000000,33.92486438,2435.805262,1,
