src_ip,dst_ip,src_port,dst_port,proto,time_bucket,start_time_epoch,end_time_epoch,duration,packet_count,byte_count,pps,bps,start_time_iso,end_time_iso,label
192.168.0.102,192.168.0.106,81,53496,6,149,1763667001.266612,1763667011.258253,9.9916410446167,920,1134495,92.07696672566895,113544.4112667802,2025-11-21T04:30:01.266612+09:00,2025-11-21T04:30:11.258253+09:00,0
192.168.0.106,192.168.0.102,51648,81,6,18,1763665691.261949,1763665701.25233,9.990381002426147,650,39012,65.06258368345998,3904.956176398678,2025-11-21T04:08:11.261949+09:00,2025-11-21T04:08:21.252330+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,155,1763667061.260914,1763667071.257783,9.99686884880066,355,21324,35.511119068306066,2133.0678958100243,2025-11-21T04:31:01.260914+09:00,2025-11-21T04:31:11.257783+09:00,0
192.168.0.102,192.168.0.106,81,34614,6,47,1763665981.25922,1763665983.114451,1.8552310466766355,218,266584,117.5055799063485,143693.15373281657,2025-11-21T04:13:01.259220+09:00,2025-11-21T04:13:03.114451+09:00,0
192.168.0.102,192.168.0.106,80,55824,6,26,1763665772.855435,1763665772.855435,1e-06,1,54,1000000.0,54000000.0,2025-11-21T04:09:32.855435+09:00,2025-11-21T04:09:32.855435+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,165,1763667161.703405,1763667170.523955,8.820550203323364,224,13476,25.39524120792401,1527.795850526714,2025-11-21T04:32:41.703405+09:00,2025-11-21T04:32:50.523955+09:00,0
192.168.0.102,192.168.0.106,81,53496,6,157,1763667082.607167,1763667091.256534,8.649367094039917,1317,1619188,152.26547626906884,187203.0614951868,2025-11-21T04:31:22.607167+09:00,2025-11-21T04:31:31.256534+09:00,0
192.168.0.100,192.168.0.102,45602,81,6,30,1763665811.268122,1763665817.417032,6.148910045623779,430,25812,69.9310929594805,4197.817142953746,2025-11-21T04:10:11.268122+09:00,2025-11-21T04:10:17.417032+09:00,0
192.168.0.102,192.168.0.106,81,51648,6,17,1763665682.038141,1763665691.219963,9.181822061538696,678,835470,73.8415529571241,90991.74373021898,2025-11-21T04:08:02.038141+09:00,2025-11-21T04:08:11.219963+09:00,0
192.168.0.102,192.168.0.100,80,58530,6,187,1763667383.689279,1763667384.110939,0.4216599464416504,51,60867,120.95054422499534,144350.91716358415,2025-11-21T04:36:23.689279+09:00,2025-11-21T04:36:24.110939+09:00,0
192.168.0.102,192.168.0.106,80,55824,6,2,1763665531.294542,1763665540.111424,8.816881895065308,16,1529,1.8147005018809417,173.41731671099748,2025-11-21T04:05:31.294542+09:00,2025-11-21T04:05:40.111424+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,71,1763666222.189215,1763666231.249204,9.059988975524902,563,33804,62.14135596863481,3731.130367963998,2025-11-21T04:17:02.189215+09:00,2025-11-21T04:17:11.249204+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,171,1763667221.27587,1763667231.239287,9.963416814804075,564,33852,56.60708675381163,3397.629611329843,2025-11-21T04:33:41.275870+09:00,2025-11-21T04:33:51.239287+09:00,0
192.168.0.106,192.168.0.102,51648,81,6,21,1763665721.259483,1763665731.255257,9.995773792266846,714,42846,71.43018788124044,4286.4115265541,2025-11-21T04:08:41.259483+09:00,2025-11-21T04:08:51.255257+09:00,0
192.168.0.102,192.168.0.106,81,53496,6,154,1763667051.56806,1763667061.258722,9.690662145614624,1137,1401862,117.32944384141322,144661.11592120602,2025-11-21T04:30:51.568060+09:00,2025-11-21T04:31:01.258722+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,162,1763667131.270891,1763667141.257508,9.986617088317873,284,17076,28.438058402401055,1709.888328448593,2025-11-21T04:32:11.270891+09:00,2025-11-21T04:32:21.257508+09:00,0
192.168.0.106,192.168.0.101,39454,80,6,10,1763726749.392181,1763726750.107816,0.7156350612640381,9,709,12.576242399447493,990.7284290231414,2025-11-21T21:05:49.392181+09:00,2025-11-21T21:05:50.107816+09:00,1
192.168.0.106,192.168.0.102,55824,80,6,7,1763665590.002907,1763665590.002907,1e-06,1,60,1000000.0,60000000.0,2025-11-21T04:06:30.002907+09:00,2025-11-21T04:06:30.002907+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,126,1763666771.354506,1763666780.463866,9.109359979629517,264,15864,28.981179862291164,1741.5054444522236,2025-11-21T04:26:11.354506+09:00,2025-11-21T04:26:20.463866+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,172,1763667231.273385,1763667240.930272,9.65688705444336,449,26958,46.49531442882565,2791.5828204282448,2025-11-21T04:33:51.273385+09:00,2025-11-21T04:34:00.930272+09:00,0
192.168.0.106,192.168.0.101,53992,80,6,35,1763727002.092735,1763727002.773621,0.6808860301971436,9,709,13.218071161474914,1041.2902726095238,2025-11-21T21:10:02.092735+09:00,2025-11-21T21:10:02.773621+09:00,1
192.168.0.106,192.168.0.101,60846,80,6,34,1763726994.827415,1763726995.824073,0.9966580867767334,8,648,8.026824952449438,650.1728211484044,2025-11-21T21:09:54.827415+09:00,2025-11-21T21:09:55.824073+09:00,1
192.168.0.106,192.168.0.102,53496,81,6,109,1763666601.686195,1763666611.251711,9.565515995025637,252,15138,26.344632127639304,1582.559687096047,2025-11-21T04:23:21.686195+09:00,2025-11-21T04:23:31.251711+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,146,1763666971.273228,1763666980.292871,9.0196430683136,522,31326,57.87368702358177,3473.0864362082807,2025-11-21T04:29:31.273228+09:00,2025-11-21T04:29:40.292871+09:00,0
192.168.0.102,192.168.0.106,81,51648,6,19,1763665701.262206,1763665711.249224,9.98701786994934,2083,2534924,208.5707692851626,253821.9149109081,2025-11-21T04:08:21.262206+09:00,2025-11-21T04:08:31.249224+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,192,1763667431.26183,1763667441.233553,9.971722841262816,244,14700,24.469191922416076,1474.168529752116,2025-11-21T04:37:11.261830+09:00,2025-11-21T04:37:21.233553+09:00,0
192.168.0.101,192.168.0.106,80,60486,6,25,1763726898.734594,1763726899.526706,0.792111873626709,6,432,7.574687616445909,545.3775083841055,2025-11-21T21:08:18.734594+09:00,2025-11-21T21:08:19.526706+09:00,1
192.168.0.106,192.168.0.102,38080,80,6,75,1763666263.716615,1763666263.736726,0.020111083984375,2,120,99.44764795144158,5966.858877086494,2025-11-21T04:17:43.716615+09:00,2025-11-21T04:17:43.736726+09:00,0
192.168.0.102,192.168.0.106,80,55824,6,25,1763665762.628494,1763665762.628494,1e-06,1,1021,1000000.0,1021000000.0,2025-11-21T04:09:22.628494+09:00,2025-11-21T04:09:22.628494+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,135,1763666861.272558,1763666871.102088,9.829530000686646,200,12024,20.34685279825474,1223.252790231075,2025-11-21T04:27:41.272558+09:00,2025-11-21T04:27:51.102088+09:00,0
192.168.0.106,192.168.0.102,48118,80,6,198,1763667495.753797,1763667496.005272,0.2514748573303222,12,1333,47.71848815182951,5300.728725532395,2025-11-21T04:38:15.753797+09:00,2025-11-21T04:38:16.005272+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,136,1763666872.432046,1763666880.245985,7.813939094543457,347,20838,44.40781989743344,2666.7727695179196,2025-11-21T04:27:52.432046+09:00,2025-11-21T04:28:00.245985+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,186,1763667371.431621,1763667381.237846,9.806224822998049,504,30252,51.395925455226575,3084.979239824433,2025-11-21T04:36:11.431621+09:00,2025-11-21T04:36:21.237846+09:00,0
192.168.0.106,192.168.0.102,53496,81,6,66,1763666171.259303,1763666181.237683,9.978379964828491,395,23718,39.58558417220879,2376.9389503707544,2025-11-21T04:16:11.259303+09:00,2025-11-21T04:16:21.237683+09:00,0
192.168.0.106,192.168.0.102,55824,80,6,0,1763665517.560236,1763665520.233393,2.673156976699829,18,2112,6.7336112906553165,790.0770581035571,2025-11-21T04:05:17.560236+09:00,2025-11-21T04:05:20.233393+09:00,0
192.168.0.102,192.168.0.106,81,53496,6,135,1763666861.265181,1763666871.022546,9.757364988327026,517,642063,52.98561656948364,65802.9089583218,2025-11-21T04:27:41.265181+09:00,2025-11-21T04:27:51.022546+09:00,0
192.168.0.102,192.168.0.106,81,53496,6,173,1763667242.285197,1763667251.181193,8.89599609375,730,895553,82.0593885504144,100669.22136231409,2025-11-21T04:34:02.285197+09:00,2025-11-21T04:34:11.181193+09:00,0
192.168.0.106,192.168.0.102,55824,80,6,17,1763665685.745361,1763665685.745361,1e-06,1,60,1000000.0,60000000.0,2025-11-21T04:08:05.745361+09:00,2025-11-21T04:08:05.745361+09:00,0
