src_ip,dst_ip,src_port,dst_port,proto,time_bucket,start_time_epoch,end_time_epoch,duration,packet_count,byte_count,pps,bps,start_time_iso,end_time_iso,label
192.168.0.106,192.168.0.101,37682,80,6,1,1763726661.88119,1763726662.815105,0.9339148998260498,8,648,8.566090980548735,693.8533694244475,2025-11-21T21:04:21.881190+09:00,2025-11-21T21:04:22.815105+09:00,1
192.168.0.106,192.168.0.101,37686,80,6,1,1763726661.88119,1763726662.815176,0.9339859485626221,8,648,8.565439354105672,693.8005876825595,2025-11-21T21:04:21.881190+09:00,2025-11-21T21:04:22.815176+09:00,1
192.168.0.106,192.168.0.101,37700,80,6,1,1763726661.88119,1763726663.122389,1.241199016571045,8,648,6.445380549930599,522.0758245443785,2025-11-21T21:04:21.881190+09:00,2025-11-21T21:04:23.122389+09:00,1
192.168.0.106,192.168.0.101,37714,80,6,1,1763726661.881255,1763726662.814891,0.9336361885070801,9,709,9.639729169443768,759.3964423484035,2025-11-21T21:04:21.881255+09:00,2025-11-21T21:04:22.814891+09:00,1
192.168.0.106,192.168.0.101,37728,80,6,1,1763726661.881255,1763726663.122082,1.2408270835876465,9,709,7.253226593006003,571.3930727156951,2025-11-21T21:04:21.881255+09:00,2025-11-21T21:04:23.122082+09:00,1
192.168.0.101,192.168.0.106,80,37682,6,1,1763726661.891964,1763726662.837132,0.9451680183410645,6,432,6.348077678856561,457.0615928776724,2025-11-21T21:04:21.891964+09:00,2025-11-21T21:04:22.837132+09:00,1
192.168.0.101,192.168.0.106,80,37686,6,1,1763726661.892681,1763726662.837313,0.9446320533752441,6,432,6.351679448692781,457.3209203058802,2025-11-21T21:04:21.892681+09:00,2025-11-21T21:04:22.837313+09:00,1
192.168.0.101,192.168.0.106,80,37700,6,1,1763726661.89686,1763726663.144188,1.2473280429840088,6,432,4.810282294019523,346.3403251694057,2025-11-21T21:04:21.896860+09:00,2025-11-21T21:04:23.144188+09:00,1
192.168.0.101,192.168.0.106,80,37714,6,1,1763726661.915388,1763726662.757132,0.8417439460754395,7,3980,8.316068125748826,4728.278734354332,2025-11-21T21:04:21.915388+09:00,2025-11-21T21:04:22.757132+09:00,1
192.168.0.101,192.168.0.106,80,37728,6,1,1763726661.915771,1763726663.042395,1.1266241073608398,8,4050,7.1008599476362235,3594.810348490838,2025-11-21T21:04:21.915771+09:00,2025-11-21T21:04:23.042395+09:00,1
192.168.0.106,192.168.0.101,56328,80,6,1,1763726662.403529,1763726663.248819,0.8452901840209961,9,709,10.647231175911124,838.765211524554,2025-11-21T21:04:22.403529+09:00,2025-11-21T21:04:23.248819+09:00,1
192.168.0.101,192.168.0.106,80,56328,6,1,1763726662.409384,1763726663.246101,0.836716890335083,8,3978,9.561179046829341,4754.29628103589,2025-11-21T21:04:22.409384+09:00,2025-11-21T21:04:23.246101+09:00,1
192.168.0.106,192.168.0.101,56340,80,6,1,1763726662.412151,1763726663.24892,0.8367688655853271,9,709,10.755658306794698,847.3068599463824,2025-11-21T21:04:22.412151+09:00,2025-11-21T21:04:23.248920+09:00,1
