src_ip,dst_ip,src_port,dst_port,proto,time_bucket,start_time,end_time,duration,packet_count,byte_count,pps,bps,label
192.168.0.106,192.168.0.102,55820,80,6,1,2025-11-21T04:05:14.294910+09:00,2025-11-21T04:05:14.517325+09:00,0.22241497039794922,19,2096,85.42590440744536,9423.826086210815,0
192.168.0.102,192.168.0.106,80,55820,6,1,2025-11-21T04:05:14.298386+09:00,2025-11-21T04:05:14.491157+09:00,0.19277095794677734,17,10788,88.18755782026864,55962.78669206223,0
192.168.0.106,192.168.0.102,55824,80,6,2,2025-11-21T04:05:17.560236+09:00,2025-11-21T04:05:20.233393+09:00,2.673156976699829,18,2112,6.7336112906553165,790.0770581035571,0
192.168.0.102,192.168.0.106,80,55824,6,2,2025-11-21T04:05:17.579112+09:00,2025-11-21T04:05:20.162097+09:00,2.5829849243164062,19,17365,7.355830775910704,6722.842180194177,0
192.168.0.106,192.168.0.102,55824,80,6,3,2025-11-21T04:05:21.963838+09:00,2025-11-21T04:05:22.725378+09:00,0.7615399360656738,12,1440,15.75754524706258,1890.9054296475097,0
192.168.0.102,192.168.0.106,80,55824,6,3,2025-11-21T04:05:22.071904+09:00,2025-11-21T04:05:22.721984+09:00,0.6500799655914307,16,17050,24.612356705137802,26227.54261391247,0
192.168.0.106,192.168.0.102,55824,80,6,4,2025-11-21T04:05:23.521331+09:00,2025-11-21T04:05:25.672631+09:00,2.1512999534606934,12,1440,5.578022711661465,669.3627253993758,0
192.168.0.102,192.168.0.106,80,55824,6,4,2025-11-21T04:05:23.573100+09:00,2025-11-21T04:05:25.671223+09:00,2.0981228351593018,16,17305,7.625864287771877,8247.848843743272,0
192.168.0.106,192.168.0.102,33066,81,6,5,2025-11-21T04:05:27.493088+09:00,2025-11-21T04:05:29.251367+09:00,1.7582790851593018,61,4048,34.69301347827461,2302.251123935338,0
192.168.0.102,192.168.0.106,81,33066,6,5,2025-11-21T04:05:27.525886+09:00,2025-11-21T04:05:29.249707+09:00,1.7238209247589111,97,116953,56.27034607064313,67845.21426804048,0
192.168.0.102,192.168.0.106,81,33066,6,6,2025-11-21T04:05:29.267400+09:00,2025-11-21T04:05:29.267400+09:00,1e-06,1,1490,1000000.0,1490000000.0,0
192.168.0.106,192.168.0.102,33066,81,6,6,2025-11-21T04:05:29.347491+09:00,2025-11-21T04:05:29.347491+09:00,1e-06,1,60,1000000.0,60000000.0,0
192.168.0.106,192.168.0.102,55824,80,6,6,2025-11-21T04:05:31.281927+09:00,2025-11-21T04:05:32.221933+09:00,0.9400057792663574,6,955,6.3829394800985115,1015.9512005823465,0
192.168.0.102,192.168.0.106,80,55824,6,6,2025-11-21T04:05:31.294542+09:00,2025-11-21T04:05:32.221238+09:00,0.9266958236694336,5,460,5.395513686682563,496.3872591747958,0
192.168.0.106,192.168.0.102,47172,81,6,7,2025-11-21T04:05:32.715483+09:00,2025-11-21T04:05:35.227221+09:00,2.5117380619049072,92,5908,36.62802319849667,2352.1560984425905,0
192.168.0.102,192.168.0.106,81,47172,6,7,2025-11-21T04:05:32.739634+09:00,2025-11-21T04:05:35.225922+09:00,2.486288070678711,165,193903,66.36399134351235,77988.951596855,0
192.168.0.106,192.168.0.102,55824,80,6,7,2025-11-21T04:05:34.978532+09:00,2025-11-21T04:05:35.130229+09:00,0.15169692039489746,3,479,19.77627490518858,3157.6118931951096,0
192.168.0.102,192.168.0.106,80,55824,6,7,2025-11-21T04:05:35.121157+09:00,2025-11-21T04:05:35.129230+09:00,0.008073091506958008,2,203,247.73657009538996,25145.26186468208,0
192.168.0.102,192.168.0.106,81,47172,6,8,2025-11-21T04:05:35.263576+09:00,2025-11-21T04:05:38.251524+09:00,2.987947940826416,314,348026,105.08884566213456,116476.59426882179,0
192.168.0.106,192.168.0.102,47172,81,6,8,2025-11-21T04:05:35.265402+09:00,2025-11-21T04:05:38.252863+09:00,2.9874608516693115,216,12960,72.30220268135233,4338.1321608811395,0
192.168.0.106,192.168.0.102,55824,80,6,8,2025-11-21T04:05:36.175357+09:00,2025-11-21T04:05:37.781634+09:00,1.6062769889831543,6,957,3.7353457972390367,595.7876546596264,0
192.168.0.102,192.168.0.106,80,55824,6,8,2025-11-21T04:05:36.197411+09:00,2025-11-21T04:05:37.780485+09:00,1.5830738544464111,4,406,2.5267298735085038,256.46308216111316,0
192.168.0.102,192.168.0.106,81,47172,6,9,2025-11-21T04:05:38.291202+09:00,2025-11-21T04:05:38.879664+09:00,0.5884618759155273,61,63810,103.6600712749596,108435.2319353307,0
192.168.0.106,192.168.0.102,47172,81,6,9,2025-11-21T04:05:38.293294+09:00,2025-11-21T04:05:38.881221+09:00,0.5879271030426025,35,2100,59.53118986838717,3571.8713921032304,0
192.168.0.106,192.168.0.102,55824,80,6,9,2025-11-21T04:05:38.583180+09:00,2025-11-21T04:05:40.112373+09:00,1.5291931629180908,6,955,3.923637736223244,624.5123396821997,0
192.168.0.102,192.168.0.106,80,55824,6,9,2025-11-21T04:05:38.592545+09:00,2025-11-21T04:05:40.111424+09:00,1.5188789367675781,5,460,3.2919015985835016,302.85494706968217,0
192.168.0.102,192.168.0.106,81,47172,6,10,2025-11-21T04:05:41.354223+09:00,2025-11-21T04:05:44.224155+09:00,2.869931936264038,172,196538,59.93173490514994,68481.76345807186,0
192.168.0.106,192.168.0.102,47172,81,6,10,2025-11-21T04:05:41.431111+09:00,2025-11-21T04:05:44.195599+09:00,2.7644879817962646,64,3864,23.15076079962377,1397.7271832772853,0
192.168.0.106,192.168.0.102,55824,80,6,10,2025-11-21T04:05:41.522078+09:00,2025-11-21T04:05:43.379923+09:00,1.8578450679779053,6,944,3.22954809494984,508.1155669387748,0
192.168.0.102,192.168.0.106,80,55824,6,10,2025-11-21T04:05:41.578782+09:00,2025-11-21T04:05:43.320633+09:00,1.7418508529663086,4,406,2.296407865913517,233.08539839022197,0
192.168.0.106,192.168.0.102,47172,81,6,11,2025-11-21T04:05:44.298408+09:00,2025-11-21T04:05:47.248645+09:00,2.9502370357513428,116,6966,39.318874583397005,2361.166209896065,0
192.168.0.102,192.168.0.106,81,47172,6,11,2025-11-21T04:05:44.308425+09:00,2025-11-21T04:05:47.246968+09:00,2.9385430812835693,271,318022,92.22257169754542,108224.37895349368,0
192.168.0.106,192.168.0.102,55824,80,6,11,2025-11-21T04:05:44.741170+09:00,2025-11-21T04:05:47.191927+09:00,2.4507570266723633,7,1354,2.856260299906024,552.4823494389652,0
192.168.0.102,192.168.0.106,80,55824,6,11,2025-11-21T04:05:44.787774+09:00,2025-11-21T04:05:47.246985+09:00,2.4592108726501465,5,460,2.033172533354895,187.05187306865034,0
192.168.0.102,192.168.0.106,81,47172,6,12,2025-11-21T04:05:47.268049+09:00,2025-11-21T04:05:47.349544+09:00,0.08149504661560059,4,4625,49.08273773825022,56751.915509851824,0
192.168.0.106,192.168.0.102,47172,81,6,12,2025-11-21T04:05:47.269196+09:00,2025-11-21T04:05:47.350868+09:00,0.08167195320129395,3,180,36.73231608170319,2203.9389649021914,0
192.168.0.102,192.168.0.106,80,55824,6,12,2025-11-21T04:05:47.351577+09:00,2025-11-21T04:05:47.393094+09:00,0.041517019271850586,7,8983,168.605553162776,216369.09772303098,0
192.168.0.106,192.168.0.102,55824,80,6,12,2025-11-21T04:05:47.356348+09:00,2025-11-21T04:05:47.394209+09:00,0.037860870361328125,6,360,158.47496221662468,9508.49773299748,0
192.168.0.106,192.168.0.102,51648,81,6,13,2025-11-21T04:05:51.339683+09:00,2025-11-21T04:05:53.242414+09:00,1.902730941772461,143,8968,75.15513458082016,4713.225502942624,0
192.168.0.102,192.168.0.106,81,51648,6,13,2025-11-21T04:05:51.348186+09:00,2025-11-21T04:05:53.241290+09:00,1.893104076385498,219,235727,115.68302172701276,124518.7747152673,0
192.168.0.102,192.168.0.106,81,51648,6,14,2025-11-21T04:05:53.273078+09:00,2025-11-21T04:05:56.251436+09:00,2.978358030319214,379,383547,127.25132309206614,128778.00321370103,0
192.168.0.106,192.168.0.102,51648,81,6,14,2025-11-21T04:05:53.273984+09:00,2025-11-21T04:05:56.253389+09:00,2.979404926300049,244,14640,81.8955482842037,4913.732897052222,0
192.168.0.102,192.168.0.106,81,51648,6,15,2025-11-21T04:05:56.301973+09:00,2025-11-21T04:05:59.258075+09:00,2.956101894378662,322,362956,108.92723306064543,122781.96522596157,0
192.168.0.106,192.168.0.102,51648,81,6,15,2025-11-21T04:05:56.303279+09:00,2025-11-21T04:05:59.258915+09:00,2.9556360244750977,154,9240,52.10384456162847,3126.230673697708,0
192.168.0.106,192.168.0.102,55824,80,6,15,2025-11-21T04:05:57.428593+09:00,2025-11-21T04:05:57.428593+09:00,1e-06,1,60,1000000.0,60000000.0,0
192.168.0.102,192.168.0.106,80,55824,6,15,2025-11-21T04:05:57.437536+09:00,2025-11-21T04:05:57.437536+09:00,1e-06,1,54,1000000.0,54000000.0,0
192.168.0.102,192.168.0.106,81,51648,6,16,2025-11-21T04:05:59.261235+09:00,2025-11-21T04:06:02.245777+09:00,2.984541893005371,341,356860,114.25539068463875,119569.439060763,0
192.168.0.106,192.168.0.102,51648,81,6,16,2025-11-21T04:05:59.263439+09:00,2025-11-21T04:06:02.247171+09:00,2.983731985092163,153,9180,51.27806410376167,3076.6838462257,0
192.168.0.102,192.168.0.106,81,51648,6,17,2025-11-21T04:06:02.260615+09:00,2025-11-21T04:06:05.243696+09:00,2.9830808639526367,661,785175,221.58299762754768,263209.425358865,0
192.168.0.106,192.168.0.102,51648,81,6,17,2025-11-21T04:06:02.262254+09:00,2025-11-21T04:06:05.245136+09:00,2.982882022857666,238,14280,79.78860651417611,4787.316390850567,0
192.168.0.106,192.168.0.102,55824,80,6,17,2025-11-21T04:06:03.006505+09:00,2025-11-21T04:06:03.083583+09:00,0.07707810401916504,3,474,38.9215593478281,6149.606376956841,0
192.168.0.102,192.168.0.106,80,55824,6,17,2025-11-21T04:06:03.067816+09:00,2025-11-21T04:06:03.075355+09:00,0.007539033889770508,2,203,265.2859808355207,26926.527054805352,0
192.168.0.102,192.168.0.106,81,51648,6,18,2025-11-21T04:06:05.264460+09:00,2025-11-21T04:06:08.251989+09:00,2.9875288009643555,765,934234,256.0644770196233,312711.294933269,0
192.168.0.106,192.168.0.102,51648,81,6,18,2025-11-21T04:06:05.267475+09:00,2025-11-21T04:06:08.256117+09:00,2.9886422157287598,259,15540,86.66142726517187,5199.685635910312,0
192.168.0.106,192.168.0.102,55824,80,6,18,2025-11-21T04:06:06.564536+09:00,2025-11-21T04:06:06.602083+09:00,0.03754687309265137,3,478,79.90012890280221,12730.753871846486,0
192.168.0.102,192.168.0.106,80,55824,6,18,2025-11-21T04:06:06.593012+09:00,2025-11-21T04:06:06.601102+09:00,0.008090019226074219,2,203,247.21820110809855,25092.647412472004,0
192.168.0.102,192.168.0.106,81,51648,6,19,2025-11-21T04:06:08.262347+09:00,2025-11-21T04:06:11.253330+09:00,2.990983009338379,685,834598,229.02169549653362,279038.02776352694,0
192.168.0.106,192.168.0.102,51648,81,6,19,2025-11-21T04:06:08.263643+09:00,2025-11-21T04:06:11.256739+09:00,2.993095874786377,229,13740,76.50941018264047,4590.564610958428,0
192.168.0.106,192.168.0.102,55824,80,6,19,2025-11-21T04:06:09.057688+09:00,2025-11-21T04:06:09.117992+09:00,0.06030392646789551,3,479,49.74800441223565,7943.098037820292,0
